id,scene_id,type,speaker,contents
135,1,dialogue,三上,（食いまくって…）
136,1,dialogue,大賢者,ユニークスキル「捕食者」を獲得、成功しました
137,1,dialogue,三上,（30歳童貞で魔法使いなら）
138,1,dialogue,三上,（40近い俺はもうすぐ賢者だったのに…）
139,1,dialogue,三上,（大賢者も夢じゃないな）
140,1,dialogue,大賢者,エクストラスキル「賢者」を獲得
141,1,dialogue,大賢者,続けて賢者をユニークスキル「大賢者」に進化させます
142,1,dialogue,大賢者,成功しました
143,1,dialogue,三上,（うるせーな…そろそろ…静かに…して…くれ…）
144,1,scene,,三上、息を引き取る
145,1,scene,,田村、三上の死を察知し、叫ぶ
146,1,dialogue,田村,先輩！
